state,county,geoid,population,diabetes,obesity,smoking,poor_mental_health,uninsured,physical_inactivity,annual_checkup
AK,Aleutians East County,02013,3461,12.8,30.7,17.0,13.0,15.7,28.7,64.2
AK,Aleutians West County,02016,5160,10.8,31.9,16.2,13.2,13.0,25.2,63.4
AK,Anchorage County,02020,286075,8.9,35.0,14.0,16.1,9.5,19.8,70.7
AK,Bethel County,02050,18224,13.8,39.1,31.0,21.6,15.9,33.3,63.6
AK,Bristol Bay County,02060,844,11.3,34.9,16.5,15.3,9.7,22.2,68.1
AK,Chugach County,02063,6769,9.6,31.1,14.8,14.3,8.8,20.9,68.2
AK,Copper River County,02066,2674,11.4,33.6,17.8,15.2,9.5,23.2,70.2
AK,Denali County,02068,1584,8.6,31.3,16.3,15.0,9.3,20.9,67.1
AK,Dillingham County,02070,4607,13.0,38.5,25.7,19.2,13.3,29.1,63.7
AK,Fairbanks North Star County,02090,94840,7.9,35.3,13.8,15.8,9.9,21.2,65.8
AK,Haines County,02100,2070,10.8,34.0,13.8,13.3,7.7,20.1,72.3
AK,Hoonah-Angoon County,02105,2262,14.8,37.1,19.5,15.1,10.2,26.6,72.5
AK,Juneau County,02110,31555,8.9,35.0,13.9,14.8,8.5,17.5,68.6
AK,Kenai Peninsula County,02122,61223,9.8,32.3,16.1,14.8,9.9,21.5,66.1
AK,Ketchikan Gateway County,02130,13738,10.1,37.7,15.9,15.0,9.5,21.9,69.5
AK,Kodiak Island County,02150,12565,9.8,31.5,15.0,14.5,10.5,22.7,67.6
AK,Kusilvak County,02158,8001,16.5,46.5,36.6,24.5,18.1,37.0,64.1
AK,Lake and Peninsula County,02164,1331,14.6,39.4,24.7,18.4,12.1,29.4,68.4
AK,Matanuska-Susitna County,02170,115239,9.0,37.5,17.3,16.2,9.7,22.7,70.8
AK,Nome County,02180,9763,13.0,38.6,28.7,20.6,13.5,29.3,64.0
AK,North Slope County,02185,10603,10.8,42.3,20.8,16.6,11.2,23.6,64.6
AK,Northwest Arctic County,02188,7361,14.1,40.6,28.3,20.8,14.2,30.2,66.1
AK,Petersburg County,02195,3427,10.5,30.8,14.9,14.4,9.8,21.6,68.7
AK,Prince of Wales-Hyder County,02198,5696,14.0,38.4,22.0,16.8,11.1,26.5,70.4
AK,Sitka County,02220,8282,9.9,29.8,13.8,14.3,8.8,19.2,69.0
AK,Skagway County,02230,1095,9.1,36.2,15.4,14.5,9.7,20.8,68.7
AK,Southeast Fairbanks County,02240,7077,10.2,35.7,18.3,16.0,11.5,25.8,65.9
